X,Y,Z
-0.0838916749,0.0131355133,9.9077949524
-0.0606988110,0.0192952454,9.9180717468
-0.0504972339,-0.0066015208,9.9174814224
-0.0529515892,0.0019969817,9.9034042358
-0.0608605072,0.0009331609,9.9138317108
-0.0617119521,-0.0142063163,9.9399528503
-0.0558987074,0.0226356462,9.9251632690
-0.0659966692,0.0079440121,9.9294805527
-0.0554546341,0.0207729395,9.9238910675
-0.0583092384,0.0042060474,9.9160232544
-0.0571184829,0.0231595226,9.9401226044
-0.0521579906,0.0040459344,9.9219932556
-0.0677543059,0.0085834041,9.9408359528
-0.0425961204,-0.0058779386,9.9417324066
-0.0478762761,0.0092607411,9.9345645905
-0.0366652235,-0.0181208160,9.9359226227
-0.0509776697,0.0337683894,9.9335575104
-0.0378585048,-0.0115108108,9.9382419586
-0.0776873231,0.0069886399,9.9351024628
-0.0444291309,0.0280223005,9.9181270599
-0.0549069569,0.0157996770,9.9353694916
-0.0527933389,-0.0073572043,9.9419565201
-0.0416426584,0.0262782425,9.9388008118
-0.0699438453,0.0006077639,9.9354066849
-0.0591915883,-0.0179355685,9.9659109116
-0.0464292169,0.0081351548,9.9471664429
-0.0536466613,0.0036208341,9.9387655258
-0.0593443885,0.0081857825,9.9636354446
-0.0460276604,0.0028381986,9.9405393600
-0.0607087016,0.0020044604,9.9546585083
-0.0790623128,0.0131444121,9.9332618713
-0.0476927906,0.0114792120,9.9439125061
-0.0557913855,0.0056851613,9.9348487854
-0.0488162115,0.0068430696,9.9552326202
-0.0684418902,-0.0036330833,9.9382905960
-0.0319475383,0.0112375244,9.9441909790
-0.0290880017,-0.0001949158,9.9417905807
-0.0277812425,-0.0099621695,9.9336585999
-0.0566775836,-0.0042360947,9.9340162277
-0.0428037047,0.0016058024,9.9322547913
-0.0582500249,0.0051853503,9.9483299255
-0.0387584493,-0.0093238633,9.9400701523
-0.0479059182,0.0099517945,9.9569320679
-0.0415267609,0.0160193145,9.9320182800
-0.0619382337,0.0146022905,9.9459953308
-0.0605299249,0.0061189984,9.9418392181
-0.0722097158,-0.0248964839,9.9530277252
-0.0637835413,-0.0056983586,9.9524965286
-0.0391133390,-0.0154081723,9.9424839020
-0.0514819771,-0.0082006985,9.9155197144
-0.0725792497,-0.0193163641,9.9335670471
-0.0538148656,-0.0211092960,9.9368267059
-0.0448909923,-0.0158367492,9.9417171478
-0.0692221150,0.0164744612,9.9469842911
-0.0580729023,0.0144434292,9.9472885132
-0.0645678937,0.0048324284,9.9435100555
-0.0633527189,0.0052475901,9.9511241913
-0.0532091856,0.0122834668,9.9267082214
-0.0455531329,0.0047709076,9.9437856674
-0.0320399292,-0.0294867307,9.9355125427
-0.0656318218,0.0084447581,9.9288997650
-0.0626709387,-0.0136439912,9.9422264099
-0.0462760553,-0.0057351803,9.9635944366
-0.0389628820,-0.0014987327,9.9354171753
-0.0586455055,-0.0043689376,9.9509010315
-0.0631537959,-0.0012067431,9.9578285217
-0.0541058518,-0.0082063181,9.9552574158
-0.0465168729,0.0003567261,9.9614124298
-0.0638882518,0.0073886937,9.9542999268
-0.0483962856,0.0091312919,9.9515552521
-0.0434461981,0.0065310346,9.9566478729
-0.0569737665,0.0059455633,9.9237976074
-0.0684540868,-0.0016982164,9.9366340637
-0.0584504902,-0.0074782604,9.9285469055
-0.0439627282,0.0073379176,9.9425468445
-0.0278647467,-0.0128719099,9.9390850067
-0.0542257950,-0.0039946614,9.9309673309
-0.0682613552,0.0079470575,9.9564762115
-0.0440581143,-0.0004294207,9.9466800690
-0.0325112566,-0.0018979479,9.9471759796
-0.0548443794,0.0126864938,9.9418716431
-0.0578828678,0.0149009600,9.9552669525
-0.0507750213,-0.0045160674,9.9395303726
-0.0672991574,-0.0004517268,9.9497318268
-0.0429923981,0.0049549416,9.9365711212
-0.0481678620,0.0013296828,9.9510736465
-0.0315386914,0.0285317134,9.9454832077
-0.0532209873,-0.0098073324,9.9628524780
-0.0443627685,0.0077137775,9.9427509308
-0.0639300048,-0.0061060977,9.9660549164
-0.0544703826,-0.0165077131,9.9185476303
